Index,Gene
1,OPI1
2,RFX1
3,RGR1
4,RPD3
5,SPT3
6,YAP6
7,TFC7
8,OPI1
9,RFX1
10,RGR1
11,RPD3
12,SPT3
13,YAP6
14,TFC7
15,OPI1
16,RFX1
17,RGR1
18,RPD3
19,SPT3
20,YAP6
21,TFC7
22,RPD3
23,SPT3
24,YAP6
25,TFC7
26,SPT3
27,YAP6
28,TFC7
29,YAP6
30,TFC7
