Index,Gene
1,RGR1
2,RPD3
3,SPT3
4,YAP6
5,TFC7
6,RPD3
7,SPT3
8,YAP6
9,TFC7
10,SPT3
11,YAP6
12,TFC7
13,YAP6
14,TFC7
15,TFC7
16,TFC7
17,SPT3
18,YAP6
19,TFC7
20,YAP6
21,TFC7
22,TFC7
23,YAP6
24,TFC7
25,TFC7
26,TFC7
