,1,2,3,4,5,6,7,8,9,10,11,12
A,A1,D1,K1,F1,K1,H1,I1,I1,A1,G1,M1,
B,A1,F1,K1,F1,D1,I1,I1,L1,A1,G1,,
C,A1,F1,B1,F1,D1,K1,I1,L1,B1,G1,,
D,B1,F1,B1,H1,E1,K1,L1,L1,B1,I1,,
E,B1,H1,B1,H1,F1,L1,L1,L1,C1,J1,,
F,B1,H1,D1,H1,F1,G1,L1,M1,E1,J1,,
G,D1,H1,D1,K1,G1,G1,I1,M1,E1,M1,,
H,D1,K1,D1,K1,H1,G1,I1,A1,E1,M1,,
