,1,2,3,4,5,6,7,8,9,10,11,12
A,A1,C1,I1,B1,E1,L1,G1,M1,J1,J1,K1,
B,A1,E1,I1,B1,G1,L1,G1,F1,J1,J1,M1,
C,A1,E1,L1,B1,G1,C1,H1,F1,M1,J1,N1,
D,B1,E1,L1,C1,G1,C1,I1,F1,M1,M1,N1,
E,B1,G1,L1,C1,I1,D1,I1,H1,M1,M1,N1,
F,B1,G1,A1,C1,I1,E1,J1,H1,H1,M1,N1,
G,C1,G1,A1,E1,I1,E1,L1,H1,H1,J1,N1,
H,C1,I1,A1,E1,L1,F1,L1,J1,H1,K1,,
