,1,2,3,4,5,6,7,8,9,10,11,12
A,E1,C1,E1,E1,H1,,,,,,,
B,E1,G1,E1,E1,D1,,,,,,,
C,E1,G1,G1,F1,D1,,,,,,,
D,B1,G1,G1,C1,D1,,,,,,,
E,B1,D1,G1,C1,,,,,,,,
F,B1,D1,A1,C1,,,,,,,,
G,C1,D1,A1,G1,,,,,,,,
H,C1,E1,A1,G1,,,,,,,,
