,Source Well,Transfer Volume,Destination Well,ID,Gene
0,A1,2500.0,A1,1,RFX1
1,A1,2500.0,A1,1,RFX1
2,A1,2500.0,B1,1,RFX1
3,A1,2500.0,B1,1,RFX1
4,A1,2500.0,C1,1,RFX1
5,A1,2500.0,C1,1,RFX1
6,B1,2500.0,D1,2,RGR1
7,B1,2500.0,D1,2,RGR1
8,B1,2500.0,E1,2,RGR1
9,B1,2500.0,E1,2,RGR1
10,B1,2500.0,F1,2,RGR1
11,B1,2500.0,F1,2,RGR1
12,D1,2500.0,G1,3,RPD3
13,D1,2500.0,G1,3,RPD3
14,D1,2500.0,H1,3,RPD3
15,D1,2500.0,H1,3,RPD3
16,D1,2500.0,A2,3,RPD3
17,D1,2500.0,A2,3,RPD3
18,F1,2500.0,B2,4,SPT3
19,F1,2500.0,B2,4,SPT3
20,F1,2500.0,C2,4,SPT3
21,F1,2500.0,C2,4,SPT3
22,F1,2500.0,D2,4,SPT3
23,F1,2500.0,D2,4,SPT3
24,H1,2500.0,E2,5,YAP6
25,H1,2500.0,E2,5,YAP6
26,H1,2500.0,F2,5,YAP6
27,H1,2500.0,F2,5,YAP6
28,H1,2500.0,G2,5,YAP6
29,H1,2500.0,G2,5,YAP6
30,K1,2500.0,H2,6,TFC7
31,K1,2500.0,H2,6,TFC7
32,K1,2500.0,A3,6,TFC7
33,K1,2500.0,A3,6,TFC7
34,K1,2500.0,B3,6,TFC7
35,K1,2500.0,B3,6,TFC7
36,B1,2500.0,C3,7,RGR1
37,B1,2500.0,C3,7,RGR1
38,B1,2500.0,D3,7,RGR1
39,B1,2500.0,D3,7,RGR1
40,B1,2500.0,E3,7,RGR1
41,B1,2500.0,E3,7,RGR1
42,D1,2500.0,F3,8,RPD3
43,D1,2500.0,F3,8,RPD3
44,D1,2500.0,G3,8,RPD3
45,D1,2500.0,G3,8,RPD3
46,D1,2500.0,H3,8,RPD3
47,D1,2500.0,H3,8,RPD3
48,F1,2500.0,A4,9,SPT3
49,F1,2500.0,A4,9,SPT3
50,F1,2500.0,B4,9,SPT3
51,F1,2500.0,B4,9,SPT3
52,F1,2500.0,C4,9,SPT3
53,F1,2500.0,C4,9,SPT3
54,H1,2500.0,D4,10,YAP6
55,H1,2500.0,D4,10,YAP6
56,H1,2500.0,E4,10,YAP6
57,H1,2500.0,E4,10,YAP6
58,H1,2500.0,F4,10,YAP6
59,H1,2500.0,F4,10,YAP6
60,K1,2500.0,G4,11,TFC7
61,K1,2500.0,G4,11,TFC7
62,K1,2500.0,H4,11,TFC7
63,K1,2500.0,H4,11,TFC7
64,K1,2500.0,A5,11,TFC7
65,K1,2500.0,A5,11,TFC7
66,D1,2500.0,B5,12,RPD3
67,D1,2500.0,B5,12,RPD3
68,D1,2500.0,C5,12,RPD3
69,D1,2500.0,C5,12,RPD3
70,E1,2500.0,D5,12,RPD3
71,E1,2500.0,D5,12,RPD3
72,F1,2500.0,E5,13,SPT3
73,F1,2500.0,E5,13,SPT3
74,F1,2500.0,F5,13,SPT3
75,F1,2500.0,F5,13,SPT3
76,G1,2500.0,G5,13,SPT3
77,G1,2500.0,G5,13,SPT3
78,H1,2500.0,H5,14,YAP6
79,H1,2500.0,H5,14,YAP6
80,H1,2500.0,A6,14,YAP6
81,H1,2500.0,A6,14,YAP6
82,I1,2500.0,B6,14,YAP6
83,I1,2500.0,B6,14,YAP6
84,K1,2500.0,C6,15,TFC7
85,K1,2500.0,C6,15,TFC7
86,K1,2500.0,D6,15,TFC7
